id,content_id,topic_id,confidence
24701,1714,PERI,0.09
24702,1301,CHRW,0.0
24703,1459,SIG,0.77
24704,889,EXAS,0.87
24705,273,EGF,0.27
24706,1743,BR,0.28
24707,1030,AMMA,0.78
24708,383,AEM,0.32
24709,1413,HIMX,0.12
24710,689,FEMS,0.94
24711,1730,BWLD,0.96
24712,1302,AAV,0.82
24713,246,PBIB,0.1
24714,695,AMNB,0.66
24715,1517,CNXC,0.07
24716,902,USB^M,0.89
24717,880,INGR,0.9
24718,626,CBM,0.72
24719,696,JNCE,0.91
24720,85,UNP,0.7
24721,429,EV,0.51
24722,1050,CPAAW,0.7
24723,27,NCTY,0.17
24724,336,GNMK,0.07
24725,110,PBFX,0.4
24726,870,CLIR,0.48
24727,828,SCHW^B,0.67
24728,1499,DE,0.05
24729,1249,AFSI^C,0.02
24730,1186,RGSE,0.47
24731,64,NADL,0.85
24732,1132,ALL^D,0.79
24733,1399,AMMA,0.8
24734,1665,HEP,0.53
24735,931,ELVT,0.3
24736,1004,CYCC,0.46
24737,660,GM,0.24
24738,346,IMRN,0.75
24739,1250,MYC,0.36
24740,17,GOF,0.68
24741,590,GHY,0.19
24742,894,JCI,0.51
24743,53,OASM,0.27
24744,502,DGII,0.04
24745,966,VEEV,0.55
24746,616,ABR^A,0.46
24747,88,ENIC,0.1
24748,1666,WLB,0.92
24749,1160,CFBK,0.78
24750,818,WLDN,0.87
24751,1069,AKO.B,1.0
24752,1584,GLNG,0.93
24753,320,STAF,0.46
24754,188,BLVDW,1.0
24755,1801,PNNT,0.59
24756,1533,FIV,0.35
24757,764,COWN,0.43
24758,993,UNAM,0.12
24759,1257,STMP,0.72
24760,1591,AIRG,0.34
24761,272,HEP,0.89
24762,109,QUAD,0.89
24763,334,SNLN,0.86
24764,774,DEPO,0.31
24765,917,BMRC,0.87
24766,85,CDR,0.25
24767,946,PGTI,0.1
24768,518,CLW,0.63
24769,722,NYT,0.93
24770,1585,LAZ,0.55
24771,672,C^P,0.57
24772,1227,REN           ,0.2
24773,1815,GATX,0.24
24774,1109,UBSH,0.89
24775,1534,RADA,0.05
24776,418,REXX,0.88
24777,367,JPM^F,0.0
24778,869,IMRN,0.13
24779,594,RADA,0.0
24780,1270,SPWH,0.77
24781,47,MOMO,0.55
24782,1282,WSBC,0.81
24783,1714,NGHCZ,0.43
24784,1470,BV,0.27
24785,782,NTC,0.13
24786,764,LTXB,0.18
24787,1263,ESBK,0.46
24788,1513,EXPD,0.22
24789,994,SNGXW,0.47
24790,177,SRF,0.19
24791,1685,BR,0.47
24792,378,VMI,0.26
24793,1570,FBR,0.64
24794,1386,PXI,0.0
24795,262,STAF,0.15
24796,828,EVOL,0.41
24797,1312,UBOH,0.26
24798,911,ECL,0.62
24799,1563,PBIB,0.74
24800,333,SRG,0.97
24801,961,HIIQ,0.05
24802,1590,UCTT,0.92
24803,1906,CAC,0.33
24804,73,DTK,0.88
24805,1401,HGT,0.52
24806,1570,CBT,0.51
24807,1487,EQC,0.36
24808,590,UTI,0.04
24809,1886,SILC,0.37
24810,430,CFC^B,0.64
24811,1682,IAC,0.15
24812,1040,CUK,0.75
24813,1167,KTF,0.83
24814,1674,FIS,0.08
24815,1710,WABC,0.55
24816,1024,GNMK,0.8
24817,1890,AMH^F,0.69
24818,1765,WAC,0.69
24819,331,ONVO,0.58
24820,315,MSDI,0.57
24821,272,CYCC,0.17
24822,1865,APA,0.55
24823,25,ERII,0.78
24824,1555,WIA,0.28
24825,467,HBP,0.68
24826,1890,INTC,0.07
24827,1393,HAE,0.09
24828,997,APA,0.71
24829,1875,CTV,0.02
24830,442,RAIL,0.57
24831,1397,PBB,0.33
24832,1134,CCP,0.11
24833,465,FORD,1.0
24834,349,PTGX,0.47
24835,1902,PMD,0.78
24836,1275,AVGO,0.87
24837,1075,WIA,0.26
24838,1685,KED,0.64
24839,1488,PRTO,0.28
24840,1692,NRCIA,0.11
24841,299,ABEO,0.59
24842,46,FEMS,0.22
24843,912,EXC,0.92
24844,1133,OEC,0.76
24845,1167,ENDP,0.92
24846,936,LDRI,0.75
24847,921,AEM,0.08
24848,541,LTXB,0.63
24849,628,UCTT,0.34
24850,847,PBIB,0.33
24851,1265,VONV,0.66
24852,164,INFO,0.73
24853,20,GWB,0.48
24854,847,SIG,0.79
24855,1740,NEE^C,0.19
24856,710,RMAX,0.87
24857,1347,FII,0.87
24858,382,PBB,0.89
24859,172,EGF,0.39
24860,1682,CDR,0.2
24861,638,PXI,0.68
24862,1399,KBWY,0.26
24863,1108,ALL^D,0.58
24864,92,NOV,0.07
24865,1026,MTG,0.68
24866,828,MTL,0.92
24867,153,HLNE,0.77
24868,619,DK,0.04
24869,1235,FCPT,0.36
24870,688,FII,0.11
24871,1957,NLY^A,0.89
24872,1415,MLP,0.22
24873,1045,UNAM,0.49
24874,1599,DTY,0.82
24875,242,URBN,0.06
24876,1726,CMCO,0.15
24877,179,DQ,0.24
24878,1179,PSC,0.94
24879,1067,MKTX,0.18
24880,619,CPAAW,0.8
24881,290,MCS,0.84
24882,434,EROS,0.92
24883,1593,LGND,0.86
24884,634,MPVD,0.34
24885,251,TBI,0.68
24886,1823,CNX,0.49
24887,1613,ARRY,0.88
24888,1554,RBA,0.35
24889,79,ABR^A,0.58
24890,1879,DDR,0.44
24891,1051,ADC,0.95
24892,199,MTL,0.3
24893,1851,MZOR,0.92
24894,1185,STAF,0.54
24895,256,HIIQ,0.87
24896,18,REXX,0.57
24897,1290,QTEC,0.54
24898,1307,BCE,0.67
24899,873,DSXN,0.24
24900,1232,FIV,0.17
24901,1692,HCSG,0.46
24902,1146,IPHI,0.24
24903,916,ESBK,0.57
24904,978,NUM,0.36
24905,1525,UNAM,0.17
24906,356,RST,0.56
24907,595,TOUR,0.44
24908,1029,HIIQ,0.54
24909,98,TI.A,0.49
24910,1017,MYOK,0.05
24911,675,UZA,0.07
24912,1836,WAT,0.46
24913,1013,EVOK,0.95
24914,1863,NEE^J,0.75
24915,803,AFW.CL,0.24
24916,893,CYCCP,0.36
24917,154,RYI,0.71
24918,751,PPG,0.88
24919,631,MIME,0.99
24920,816,TDW,0.15
24921,679,VSTO,0.97
24922,1218,DRYS,0.66
24923,750,HIVE,0.7
24924,7,EVOL,0.75
24925,16,POWL,0.94
24926,1810,DFS,0.75
24927,756,BAC^D,0.63
24928,1981,PERI,0.55
24929,1018,NEE,0.03
24930,503,NYLD.A,0.25
24931,51,ORLY,0.93
24932,1187,ASGN,0.13
24933,1348,MYOK,0.82
24934,1667,FORD,0.92
24935,561,GLNG,0.1
24936,1768,TSM,0.2
24937,1123,LBTYK,0.99
24938,1186,BRSS,0.69
24939,790,VCEL,0.26
24940,1548,GNMK,0.58
24941,1479,KED,0.01
24942,1418,GCVRZ,0.54
24943,596,REXX,0.42
24944,455,CPAAW,0.9
24945,1399,FTD,0.19
24946,565,KED,0.68
24947,306,DSLV,0.65
24948,267,BNJ,0.67
24949,827,SRET,0.03
24950,1944,JPM^F,0.45
24951,867,RRR,0.33
24952,1574,LORL,0.01
24953,1329,ERII,0.48
24954,1715,CMCO,0.29
24955,926,CLRB,0.86
24956,1184,NTC,0.99
24957,89,ORLY,0.04
24958,817,WSBC,0.79
24959,256,PPH,0.67
24960,683,GOF,0.16
24961,171,PPL,0.15
24962,689,HAE,0.14
24963,1515,KBWP,0.9
24964,610,CAPR,0.48
24965,1339,PAVMW,0.49
24966,965,ETFC,0.71
24967,228,DTK,0.96
24968,1569,MLP,0.32
24969,419,NLST,0.14
24970,1859,CPAH,0.84
24971,1150,PPL,0.56
24972,1604,MPVD,0.21
24973,881,ZSAN,0.89
24974,1880,AAV,0.56
24975,1104,CMRE,0.46
24976,233,DDR,0.41
24977,1251,URBN,0.88
24978,1203,CNX,0.72
24979,730,HBP,0.05
24980,288,SHI,0.44
24981,699,ITUS,0.8
24982,1575,PAVMW,0.54
24983,664,ASML,0.41
24984,344,TSEM,0.57
24985,924,NBD,0.84
24986,513,QUAD,0.61
24987,217,ESG,0.16
24988,1630,SRG,0.88
24989,383,IRWD,0.18
24990,5,CMCO,0.26
24991,301,TI.A,0.38
24992,9,SAJA,0.29
24993,1605,GES,0.23
24994,854,JMF,0.56
24995,351,OASM,0.8
24996,29,ORG,0.58
24997,1072,RMAX,0.21
24998,305,ADNT,0.74
24999,990,VSTO,0.83
25000,371,REN           ,0.95
25001,62,BAM,0.0
25002,1097,TNDM,0.37
25003,1808,CMRE,0.56
25004,1747,BCE,0.56
25005,859,MS^E,0.78
25006,733,BAC^I,0.55
25007,821,PBIB,0.77
25008,1024,ALL^D,0.17
25009,992,EPR^C,0.55
25010,806,HAE,0.06
25011,972,VIGI,0.4
25012,553,AXSM,0.44
25013,1812,BAC^I,0.02
25014,168,DXLG,0.04
25015,1174,JPM^F,0.75
25016,1518,REXX,0.92
25017,363,DEA,0.9
25018,970,URBN,0.01
25019,173,WTFCM,0.12
25020,928,MX,0.52
25021,1001,OASM,0.9
25022,940,ARRY,0.28
25023,1623,GLOB,0.52
25024,1509,TTEC,0.04
25025,97,QTWO,0.24
25026,900,SMED,0.61
25027,1062,GHY,0.91
25028,1892,USB^M,0.17
25029,1340,TCFC,0.97
25030,1626,AUY,0.13
25031,1500,RCII,0.7
25032,223,HAE,0.53
25033,27,ARNA,0.36
25034,1559,FPAY,0.88
25035,685,ZN,0.44
25036,524,DGII,0.13
25037,1638,TSM,0.24
25038,1359,USB^M,0.27
25039,232,MNST,0.12
25040,1499,PLYAW,0.77
25041,535,NURO,0.2
25042,232,AMMA,0.61
25043,1026,SCLN,0.32
25044,1833,NQ,0.31
25045,1820,VSDA,0.39
25046,238,VVI,0.38
25047,313,LORL,0.22
25048,167,NURO,0.84
25049,499,INGR,0.02
25050,1993,CPAH,0.68
25051,1973,KTF,0.99
25052,724,JCI,0.22
25053,1284,PPG,0.35
25054,1640,AMH^F,0.6
25055,1641,THG,0.89
25056,554,FBR,0.59
25057,482,SPWH,0.0
25058,329,EQC,0.4
25059,1011,CLIR,0.91
25060,140,ICB,0.19
25061,1597,STAR^D,0.47
25062,1890,NEE^J,0.96
25063,1413,STI.WS.A,0.55
25064,1936,WMGI,0.06
25065,1470,ELVT,0.08
25066,1575,FJP,0.76
25067,291,MYC,0.58
25068,219,PBFX,0.71
25069,640,THW,0.55
25070,404,CWAY,0.33
25071,1736,SRCLP,0.61
25072,1342,JLL,0.11
25073,1655,PSC,0.27
25074,82,SBR,0.53
25075,670,KTF,0.55
25076,1944,ABR^A,0.51
25077,1985,CAPR,0.05
25078,55,HZO,0.18
25079,709,STMP,0.33
25080,736,RFIL,0.11
25081,1622,C^P,0.0
25082,945,PBB,0.86
25083,944,NYMTO,0.06
25084,1034,VNO^G,0.97
25085,1945,AUY,0.15
25086,952,AVGO,0.22
25087,493,IRWD,0.52
25088,1593,VTVT,0.09
25089,196,RBA,0.37
25090,677,AMNB,0.76
25091,460,TCFC,0.87
25092,531,SRUN,0.69
25093,1321,WAC,0.82
25094,1187,SIG,0.22
25095,1718,OSBCP,0.73
25096,1691,BAC^I,0.41
25097,1105,THW,0.21
25098,1329,FSC,0.1
25099,810,IPCC,0.68
25100,74,BLVDW,0.93
25101,1279,AFW.CL,0.43
25102,1331,INSW,0.9
25103,1126,VSDA,0.3
25104,1093,NBD,0.75
25105,1394,MSDI,0.96
25106,354,WIA,0.69
25107,1154,VEEV,0.59
25108,1080,MLP,1.0
25109,1691,CBT,1.0
25110,666,BKEP,0.92
25111,1719,O,0.09
25112,884,NICE,0.05
25113,1100,LORL,0.69
25114,1266,CBM,0.68
25115,1199,BAC^D,0.1
25116,1122,WRB^B,0.21
25117,502,COST,0.89
25118,208,CAPR,0.23
25119,167,LBTYK,0.86
25120,973,CNXC,0.24
25121,974,GFA,0.16
25122,511,ANGO,0.1
25123,267,STMP,0.96
25124,33,CBL^D,0.04
25125,1276,CMCO,0.3
25126,381,MCS,0.96
25127,98,NCTY,0.12
25128,59,PSC,0.94
25129,1132,FTD,0.81
25130,500,GMED,0.6
25131,348,JTA,0.23
25132,1532,BAS,0.44
25133,789,COST,0.49
25134,977,JPM^E,0.06
25135,1453,BMRC,0.79
25136,1596,TI.A,0.78
25137,1265,AVGO,0.82
25138,1820,TLP,0.89
25139,555,DFS,0.21
25140,1892,HBP,0.69
25141,1171,MYCC,0.19
25142,1392,ORLY,0.82
25143,554,ENDP,0.88
25144,709,OASM,0.47
25145,1919,AOI,0.7
25146,223,NEE^C,0.79
25147,904,I,0.15
25148,850,SHLX,0.06
25149,1890,VNO^G,0.06
25150,660,NVDQ,0.69
25151,726,GLYC,0.51
25152,269,RFIL,0.64
25153,281,REN           ,0.88
25154,807,CAMP,0.36
25155,761,FEMS,0.94
25156,629,TWX,0.57
25157,315,RMAX,0.55
25158,181,AXSM,0.3
25159,1494,RAIL,0.36
25160,258,GENE,0.82
25161,469,DSXN,0.34
25162,157,TWI,0.93
25163,1490,ASML,0.36
25164,157,CL,0.56
25165,1450,TBI,0.51
25166,254,SIX,0.23
25167,1581,VEDL,0.88
25168,1336,NOV,0.73
25169,645,SPWR,0.31
25170,909,SRG,0.5
25171,498,OASM,0.43
25172,737,PSTB,0.81
25173,424,DDR,0.54
25174,539,REXX,0.33
25175,1251,THW,0.75
25176,537,FIG,0.65
25177,1976,NOV,0.14
25178,532,TNP^E,0.53
25179,943,AJRD,0.61
25180,1448,ORG,0.21
25181,490,NVDQ,0.14
25182,418,EBSB,0.75
25183,213,NMS,0.35
25184,1746,GCVRZ,0.12
25185,747,MPVD,0.35
25186,1538,CAPR,0.11
25187,1472,NLST,0.01
25188,63,LMAT,0.61
25189,1694,CYCCP,0.48
25190,1079,CBL^D,0.32
25191,1043,MOMO,0.72
25192,267,EROS,0.3
25193,1757,PFLT,0.7
25194,97,UONE,0.58
25195,1516,DFS,0.14
25196,438,ASGN,0.87
25197,1845,DDR,0.43
25198,829,WMGI,0.63
25199,533,DEPO,0.33
25200,942,AJRD,0.56
25201,1859,GWB,1.0
25202,1984,ASML,0.46
25203,113,PTSI,0.18
25204,1341,TBBK,0.9
25205,1327,PNNT,0.78
25206,572,GLOB,0.83
25207,1870,TSEM,0.37
25208,830,MEDP,0.02
25209,1948,BLVDW,0.0
25210,384,CYD,0.39
25211,1918,EXPD,0.89
25212,374,CFC^B,0.04
25213,148,GLOB,0.91
25214,491,BV,0.35
25215,303,RCL,0.46
25216,1812,MLP,0.66
25217,481,GOF,0.75
25218,1216,SRUN,0.07
25219,324,ABEO,0.73
25220,690,JHX,0.46
25221,552,MOBL,0.28
25222,951,NHI,0.74
25223,1284,EMIF,0.21
25224,1990,IRWD,0.96
25225,1884,POWL,0.24
25226,639,PSCD,0.98
25227,1128,AAV,0.21
25228,344,LMAT,0.16
25229,1209,UBSH,0.7
25230,860,BWLD,0.2
25231,752,XENE,0.32
25232,1364,DYNT,0.92
25233,1498,BIOC,0.35
25234,945,GCVRZ,0.67
25235,88,FPAY,0.17
25236,113,BLL,0.52
25237,1083,CBM,0.95
25238,161,SPWH,0.97
25239,228,TSC,0.81
25240,497,PAVMW,0.8
25241,634,VCEL,0.9
25242,1458,O,0.64
25243,1854,IDE,0.22
25244,181,LJPC,0.45
25245,837,DORM,0.0
25246,1681,AKO.B,0.68
25247,1287,HNNA,0.46
25248,970,DRD,0.1
25249,1146,UTL,0.95
25250,963,MKTX,0.94
25251,1643,MDIV,0.2
25252,1892,TI.A,0.35
25253,615,ZN,0.57
25254,1349,NLY^A,0.51
25255,1500,SCLN,0.06
25256,1672,KBWB,0.07
25257,865,FIG,0.91
25258,1080,ITCI,0.56
25259,1342,AUY,0.91
25260,1812,HEBT,0.26
25261,516,DMPI,0.88
25262,1107,AVGO,0.76
25263,1347,UBSH,0.9
25264,1499,MSDI,0.64
25265,1936,AMCN,0.33
25266,332,PTGX,0.91
25267,115,EXPD,0.5
25268,1193,SAJA,0.42
25269,1951,LJPC,0.5
25270,394,FWP,0.77
25271,623,MYC,0.59
25272,248,BGT,0.65
25273,964,AUY,0.95
25274,1547,BAC^D,0.15
25275,432,ABR^A,0.66
25276,1450,ETW,0.14
25277,1865,BAC^D,0.04
25278,867,RBA,0.78
25279,1299,FNY,0.71
25280,309,AAV,0.27
25281,811,ELVT,0.9
25282,1386,CBM,0.16
25283,130,KEM,0.7
25284,970,ARNA,0.23
25285,1313,XOXO,0.96
25286,1644,WTFCM,0.55
25287,1003,OASM,0.56
25288,1582,TBI,0.1
25289,1144,FNCX,0.18
25290,1581,DHT,0.29
25291,1591,CBL^D,0.32
25292,549,TCFC,0.56
25293,776,SHAK,0.4
25294,903,WTFCM,0.81
25295,970,RRR,0.5
25296,663,FWP,0.79
25297,1839,ASML,0.97
25298,1700,IDSY,0.84
25299,987,UONE,0.48
25300,587,DXLG,0.99
25301,527,PENN,0.73
25302,982,DTK,0.0
25303,360,INGR,0.2
25304,891,NYMTO,0.58
25305,1747,CLRB,0.17
25306,107,DYNT,0.47
25307,117,EQC,0.03
25308,1257,SRUN,0.68
25309,1619,PAVMW,0.6
25310,1441,ADC,0.1
25311,1850,KED,0.55
25312,372,RFIL,0.38
25313,119,NOVN,0.72
25314,251,CIR,0.76
25315,664,AMCN,0.02
25316,1260,NYMTO,0.9
25317,832,BLL,0.76
25318,1277,FJP,0.8
25319,49,CR,0.33
25320,297,WTFCM,0.19
25321,398,KSS,0.82
25322,495,ENIC,0.36
25323,202,APA,0.25
25324,832,VEDL,0.17
25325,1215,NDLS,0.72
25326,1951,TTEC,0.95
25327,464,TWNKW,0.07
25328,1139,FCPT,0.1
25329,280,RBA,0.21
25330,955,topic_id,0.32
25331,804,DDD,0.83
25332,227,PHI,0.44
25333,1184,RRR,0.19
25334,1651,VALE.P,0.85
25335,555,ETW,0.24
25336,1934,FORD,0.53
25337,499,VTVT,0.13
25338,1630,TWI,0.52
25339,1735,NUM,0.46
25340,195,FIV,0.94
25341,676,TSM,0.2
25342,1102,CYCCP,0.36
25343,248,CAMP,0.39
25344,1001,VECO,0.4
25345,84,CLRB,0.56
25346,11,DRYS,0.35
25347,1381,ICB,0.84
25348,1493,FBR,0.5
25349,639,PXI,0.75
25350,1666,DYNT,0.84
25351,134,XOXO,0.03
25352,1000,DORM,0.58
25353,229,MPVD,0.72
25354,618,AJRD,0.68
25355,1100,ENIC,0.67
25356,632,NEE^J,0.67
25357,837,AUY,0.47
25358,1429,HTA,0.85
25359,933,GNMK,0.65
25360,1451,CSQ,0.92
25361,1771,FBSS,0.02
25362,545,HIVE,0.61
25363,1544,UBSH,0.0
25364,1266,CRNT,0.86
25365,220,NICE,0.55
25366,1448,FII,0.56
25367,500,FII,0.18
25368,1300,YRCW,0.23
25369,1426,HZO,0.23
25370,103,SRET,0.58
25371,1693,SPWR,0.87
25372,790,SPWR,0.54
25373,659,LTXB,0.62
25374,842,HTA,0.67
25375,1599,CFC^B,0.81
25376,1521,IRWD,0.69
25377,1180,HEBT,0.67
25378,381,PSC,0.95
25379,120,POWL,0.95
25380,1184,SQZZ,0.55
25381,157,DTK,0.09
25382,638,TSNU,0.92
25383,99,ORLY,0.86
25384,451,IPHI,0.82
25385,409,CHRW,0.26
25386,1534,SHLX,0.48
25387,402,PMD,0.29
25388,257,INGR,0.68
25389,1315,topic_id,0.01
25390,1102,HIIQ,0.68
25391,83,QTWO,0.46
25392,1712,CAPR,0.34
25393,1019,CTV,0.19
25394,1677,AKO.B,0.48
25395,890,ITUS,0.19
25396,199,THW,0.67
25397,318,ICB,0.4
25398,1960,DGII,0.51
25399,733,APA,0.46
25400,1089,ANIP,0.83
25401,1750,PFLT,0.02
25402,1038,CUK,0.12
25403,1907,JMF,0.26
25404,623,VSTO,0.57
25405,1981,FBR,0.81
25406,1690,BGT,0.2
25407,442,SHO,0.8
25408,579,ATTO,0.97
25409,1798,HTA,0.66
25410,273,ABEO,0.97
25411,923,CBM,0.16
25412,1343,SNLN,0.73
25413,913,ORG,0.6
25414,1081,NRCIA,0.58
25415,994,PBFX,0.95
25416,830,INTG,0.62
25417,1839,UCTT,0.46
25418,1951,VFC,0.92
25419,1107,STAF,0.66
25420,574,BIOC,0.58
25421,1375,VSDA,0.44
25422,438,SPWR,0.26
25423,603,BAS,0.04
25424,623,HTF,0.08
25425,1101,LORL,0.58
25426,1465,IDE,0.27
25427,1016,CHK^D,0.78
25428,1518,DGII,0.41
25429,1963,NEE^C,0.74
25430,1562,IDE,0.22
25431,419,JHX,0.82
25432,1173,CMRE,0.43
25433,698,ADC,0.67
25434,721,BV,0.13
25435,1380,HIIQ,0.55
25436,960,RMP,0.58
25437,258,CBL^D,0.37
25438,1081,VTVT,0.49
25439,1142,BCE,0.32
25440,988,PERI,0.63
25441,813,OASM,0.43
25442,1737,RADA,0.45
25443,766,SNDX,0.58
25444,1266,MTL,0.66
25445,846,NURO,0.19
25446,1373,PNNT,0.69
25447,1400,REXX,0.22
25448,223,FPAY,0.31
25449,506,BANFP,0.16
25450,1351,PTGX,0.69
25451,1402,NADL,0.01
25452,1163,NURO,0.05
25453,1635,ENDP,0.84
25454,1438,TNDM,0.85
25455,1919,TWX,0.53
25456,1374,VFC,0.37
25457,1191,UTL,0.81
25458,1358,SBR,0.95
25459,1,CAMP,0.46
25460,49,CPAAW,0.17
25461,1741,GLYC,0.43
25462,438,SQZZ,0.31
25463,63,IDSY,0.49
25464,811,STI.WS.A,0.36
25465,217,AMNB,0.36
25466,1062,DDR,0.03
25467,201,DSXN,0.82
25468,656,VCEL,0.59
25469,1441,PTGX,0.34
25470,1472,DEPO,0.83
25471,1280,MS^E,0.94
25472,462,PRTO,0.64
25473,1994,MEDP,0.69
25474,1516,FEX,0.94
25475,513,CAMP,0.38
25476,1911,PPG,0.65
25477,423,NVDQ,0.2
25478,1697,AVGO,0.48
25479,1031,SRCLP,0.02
25480,39,AMNB,0.49
25481,1745,EXC,0.03
25482,1010,MYC,0.83
25483,1336,BOOT,0.56
25484,930,ABEO,0.78
25485,1814,RES,0.3
25486,1738,DK,0.83
25487,359,MSLI,0.83
25488,1322,MYOK,0.44
25489,188,REXX,0.16
25490,743,UBOH,0.82
25491,1548,PAVMW,0.29
25492,1081,ABEO,0.87
25493,686,RADA,0.11
25494,532,SRG,0.27
25495,338,LGND,0.77
25496,568,ABR^A,0.86
25497,1697,TBI,0.96
25498,924,FIV,0.7
25499,90,INTC,0.4
25500,1369,BANFP,0.19
25501,945,BXMX,0.59
25502,1518,BRK.B,0.88
25503,1429,FNJN,0.76
25504,87,ECL,0.5
25505,912,VECO,0.7
25506,204,EPR^C,0.75
25507,1223,CYTX,0.13
25508,124,PBFX,0.06
25509,409,FIG,0.25
25510,980,CNX,0.32
25511,1999,UTL,0.16
25512,479,AMMA,0.81
25513,1397,VSDA,0.71
25514,559,ABR^A,0.21
25515,489,CMRE,0.22
25516,813,EMIF,0.79
25517,1523,HTF,0.3
25518,965,GAB,0.6
25519,1577,QUAD,0.65
25520,114,APOPW,0.08
25521,1966,NEE^C,0.12
25522,123,EPR^C,0.57
25523,1315,PAVMW,0.58
25524,1894,AAV,0.27
25525,1277,WLB,0.44
25526,964,MTG,0.76
25527,1059,INTC,0.26
25528,1600,ETFC,0.74
25529,1072,DEA,0.0
25530,44,RVEN,0.1
25531,217,BAC^D,0.51
25532,636,SHAK,0.61
25533,177,SRF,0.49
25534,867,FIG,0.3
25535,492,RGSE,0.35
25536,1927,NQ,0.18
25537,1027,NQ,0.14
25538,1961,PSC,0.96
25539,777,IMKTA,0.21
25540,1633,TWX,0.9
25541,1125,JCI,0.56
25542,376,ERII,0.29
25543,1373,BSAC,0.63
25544,1575,SIG,0.1
25545,890,QUAD,0.27
25546,46,CLW,0.32
25547,716,THW,0.41
25548,1992,TSM,0.95
25549,380,EQC,0.53
25550,983,JMF,0.97
25551,1305,APOPW,0.1
25552,545,MNST,0.24
25553,1917,SIX,0.38
25554,966,JNCE,0.92
25555,1222,CSQ,0.74
25556,1412,FEMS,0.39
25557,191,BAC^D,0.05
25558,1812,JPM^F,0.19
25559,1474,KTF,0.28
25560,1016,NUM,0.18
25561,1174,CR,0.47
25562,1107,CYTX,0.35
25563,778,JMF,0.59
25564,790,QTEC,0.39
25565,1435,UTL,0.37
25566,1272,FIV,0.5
25567,1070,UTF,0.25
25568,1753,INFO,0.96
